dataset,case_id,n_tokens,n_sentences,n_violations,n_judge_confirmed,n_generated,n_rerouted,n_despecified,trace_jsonl
radgenome,train_5212_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_5212_a_1/trace.jsonl
radgenome,train_11143_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_11143_b_1/trace.jsonl
radgenome,train_12510_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_12510_a_1/trace.jsonl
radgenome,train_5680_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_5680_a_1/trace.jsonl
radgenome,train_16701_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_16701_a_1/trace.jsonl
radgenome,train_16833_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_16833_a_1/trace.jsonl
radgenome,train_15663_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_15663_a_1/trace.jsonl
radgenome,train_9891_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_9891_b_1/trace.jsonl
radgenome,train_8450_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_8450_a_1/trace.jsonl
radgenome,train_9262_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_9262_a_1/trace.jsonl
radgenome,train_14279_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_14279_a_1/trace.jsonl
radgenome,train_19475_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_19475_a_1/trace.jsonl
radgenome,train_4617_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_4617_a_1/trace.jsonl
radgenome,train_4571_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_4571_a_1/trace.jsonl
radgenome,train_1188_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_1188_b_1/trace.jsonl
radgenome,train_8522_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_8522_a_1/trace.jsonl
radgenome,train_8223_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_8223_a_1/trace.jsonl
radgenome,train_3937_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_3937_a_1/trace.jsonl
radgenome,train_16853_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_16853_a_1/trace.jsonl
radgenome,valid_109_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/valid_109_a_1/trace.jsonl
radgenome,train_18364_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_18364_a_1/trace.jsonl
radgenome,train_12565_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_12565_b_1/trace.jsonl
radgenome,train_15495_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_15495_a_1/trace.jsonl
radgenome,train_5883_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_5883_b_1/trace.jsonl
radgenome,train_8879_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_8879_a_1/trace.jsonl
radgenome,train_10687_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_10687_a_1/trace.jsonl
radgenome,train_12894_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_12894_a_1/trace.jsonl
radgenome,valid_204_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/valid_204_a_1/trace.jsonl
radgenome,train_15113_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_15113_a_1/trace.jsonl
radgenome,train_16504_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_16504_a_1/trace.jsonl
radgenome,train_12107_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_12107_a_1/trace.jsonl
radgenome,train_14110_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_14110_a_1/trace.jsonl
radgenome,train_10649_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_10649_a_1/trace.jsonl
radgenome,train_5568_b_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_5568_b_1/trace.jsonl
radgenome,train_9742_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_9742_b_1/trace.jsonl
radgenome,train_4149_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_4149_b_1/trace.jsonl
radgenome,train_16633_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_16633_a_1/trace.jsonl
radgenome,train_11760_e_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_11760_e_1/trace.jsonl
radgenome,train_14001_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_14001_a_1/trace.jsonl
radgenome,train_9480_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_9480_b_1/trace.jsonl
radgenome,train_9851_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_9851_a_1/trace.jsonl
radgenome,train_3810_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_3810_a_1/trace.jsonl
radgenome,train_18516_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_18516_a_1/trace.jsonl
