dataset,case_id,n_tokens,n_sentences,n_violations,n_judge_confirmed,n_generated,n_rerouted,n_despecified,trace_jsonl
ctrate,train_10696_d_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_10696_d_2/trace.jsonl
ctrate,train_2963_c_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2963_c_2/trace.jsonl
ctrate,train_4337_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_4337_a_1/trace.jsonl
ctrate,train_7524_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_7524_a_1/trace.jsonl
ctrate,train_12885_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_12885_a_2/trace.jsonl
ctrate,valid_1032_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/valid_1032_a_1/trace.jsonl
ctrate,train_19196_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19196_a_2/trace.jsonl
ctrate,train_10218_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_10218_a_2/trace.jsonl
ctrate,train_3810_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_3810_a_2/trace.jsonl
ctrate,train_18458_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_18458_a_2/trace.jsonl
ctrate,train_10049_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_10049_a_2/trace.jsonl
ctrate,train_13499_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_13499_a_2/trace.jsonl
ctrate,train_17615_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17615_a_2/trace.jsonl
ctrate,train_2410_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2410_a_1/trace.jsonl
ctrate,valid_651_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/valid_651_b_1/trace.jsonl
ctrate,train_3786_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_3786_a_2/trace.jsonl
ctrate,train_19756_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19756_a_1/trace.jsonl
